Date,Open,High,Low,Close,Volume
1-Apr-14,187.62,188.36,187,188.25,89193125
31-Mar-14,186.65,187.3,185.52,187.01,99744911
28-Mar-14,185.1,186.42,185,185.49,101641547
27-Mar-14,184.77,185.34,183.9,184.58,142382757
26-Mar-14,187.03,187.34,184.92,184.97,119842897
25-Mar-14,186.37,186.94,185.27,186.31,103851737
24-Mar-14,186.82,187.07,184.62,185.43,121411145
21-Mar-14,187.72,189.02,186.03,186.2,163127905
20-Mar-14,186.25,187.89,185.92,187.75,117240972
19-Mar-14,187.7,187.94,185.47,186.66,176267253
18-Mar-14,186.71,187.91,186.51,187.66,101804519
17-Mar-14,185.59,186.77,185.51,186.33,98359454
14-Mar-14,184.8,185.8,184.44,184.66,153919598
13-Mar-14,187.84,187.99,184.66,185.18,155014237
12-Mar-14,186.32,187.35,185.9,187.28,104824323
11-Mar-14,188.44,188.71,186.8,187.23,99009013
10-Mar-14,187.94,188.23,187.08,188.16,74939176
7-Mar-14,188.87,188.96,187.43,188.26,114513432
6-Mar-14,188.21,188.61,187.78,188.18,82516500
5-Mar-14,187.72,188.07,187.45,187.75,88376859
4-Mar-14,186.75,187.98,186.75,187.58,167545852
3-Mar-14,184.69,185.45,183.75,184.98,167748455
28-Feb-14,185.79,187.15,185.05,186.29,150842000
27-Feb-14,184.59,185.87,184.37,185.82,93880780
26-Feb-14,185.11,185.6,184.33,184.85,98677144
25-Feb-14,185.03,185.59,184.23,184.84,117084901
24-Feb-14,184.28,186.15,184.2,184.91,114063868
21-Feb-14,184.49,184.89,183.8,183.89,118116359
20-Feb-14,183.27,184.52,182.6,184.1,104998099
19-Feb-14,183.76,184.95,182.87,183.02,126524261
18-Feb-14,184.19,184.49,183.65,184.24,80460878
14-Feb-14,182.84,184.36,182.67,184.02,96498305
13-Feb-14,180.84,183.2,180.83,183.01,100542155
12-Feb-14,182.22,182.83,181.7,182.07,94717638
11-Feb-14,180.16,182.44,180.04,181.98,117814009
10-Feb-14,179.7,180.07,179.21,180.01,92218729
7-Feb-14,178.31,179.87,177.73,179.68,170787197
6-Feb-14,175.58,177.48,175.22,177.48,132877526
5-Feb-14,174.79,175.56,173.71,175.17,164230470
4-Feb-14,174.95,175.84,174.11,175.38,165012351
3-Feb-14,177.95,178.37,173.83,174.17,254837004
31-Jan-14,177.02,179.29,176.92,178.18,194677861
30-Jan-14,178.86,179.81,178.26,179.23,118938051
29-Jan-14,177.56,178.55,176.88,177.35,216597269
28-Jan-14,178.14,179.3,178.12,179.07,110463152
27-Jan-14,179.06,179.52,177.12,178.01,180843004
24-Jan-14,181.6,181.66,178.83,178.89,208677093
23-Jan-14,183.36,183.4,181.82,182.79,132496880
22-Jan-14,184.49,184.57,183.91,184.3,61270816
21-Jan-14,184.7,184.77,183.05,184.18,88621138
17-Jan-14,184.1,184.45,183.32,183.64,107848616
16-Jan-14,184.28,184.66,183.83,184.42,72290520
15-Jan-14,184.1,184.94,183.71,184.66,98525721
14-Jan-14,182.28,183.77,181.95,183.67,105016055
13-Jan-14,183.71,184.18,181.34,181.68,149891938
10-Jan-14,183.95,184.22,183.01,184.14,102026318
9-Jan-14,184.1,184.13,182.8,183.64,90683302
8-Jan-14,183.45,183.83,182.89,183.52,96582234
7-Jan-14,183.09,183.79,182.95,183.48,86144169
6-Jan-14,183.47,183.56,182.08,182.36,108028139
3-Jan-14,183.21,183.6,182.63,182.88,81390502
2-Jan-14,183.98,184.07,182.48,182.92,119636836
31-Dec-13,184.07,184.69,183.93,184.69,86247638
30-Dec-13,183.87,184.02,183.58,183.82,56857458
27-Dec-13,184.1,184.18,183.66,183.84,61813841
26-Dec-13,183.34,183.96,183.32,183.86,63365227
24-Dec-13,182.54,183.01,182.53,182.93,45368841
23-Dec-13,182.41,182.64,182.06,182.53,85597541
20-Dec-13,180.68,181.99,180.57,181.56,197086908
19-Dec-13,181.19,181.7,180.71,181.49,136298872
18-Dec-13,178.93,181.73,177.32,181.7,234906482
17-Dec-13,179.39,179.41,178.25,178.65,89886224
16-Dec-13,179,179.81,178.9,179.22,96194790
13-Dec-13,178.48,178.66,177.77,178.11,107807610
12-Dec-13,178.63,178.86,177.76,178.13,115564840
11-Dec-13,180.83,180.85,178.5,178.72,130590810
10-Dec-13,180.98,181.36,180.64,180.75,80976207
9-Dec-13,181.47,181.67,181.16,181.4,70123608
6-Dec-13,180.67,181.11,180.15,180.94,127727518
5-Dec-13,179.41,179.74,178.77,178.94,106934067
4-Dec-13,179.1,180.48,178.35,179.73,123032637
3-Dec-13,179.94,180.39,179.17,179.75,116563302
2-Dec-13,181.09,181.43,180.25,180.53,99725781
29-Nov-13,181.32,181.75,180.8,181,55870903
27-Nov-13,180.87,181.24,180.65,181.12,58800056
26-Nov-13,180.72,181.22,180.4,180.68,86993560
25-Nov-13,181.13,181.17,180.37,180.63,79485709
22-Nov-13,179.98,180.83,179.77,180.81,81295887
21-Nov-13,178.97,180.05,178.86,179.91,92841271
20-Nov-13,179.39,179.93,177.98,178.47,124908601
19-Nov-13,179.33,179.87,178.72,179.03,93891416
18-Nov-13,180.35,180.5,179.02,179.42,104796009
15-Nov-13,179.56,180.12,179.33,180.05,102818190
14-Nov-13,178.54,179.42,178.25,179.27,103435238
13-Nov-13,176.09,178.43,176.09,178.38,103844266
12-Nov-13,176.94,177.36,176.37,176.96,83989617
11-Nov-13,177.12,177.53,176.91,177.32,62614326
8-Nov-13,174.87,177.31,174.85,177.29,136712623
7-Nov-13,177.5,177.64,174.76,174.93,157000422
6-Nov-13,177.03,177.5,176.54,177.17,87347728
5-Nov-13,176.14,176.75,175.57,176.27,85824778
4-Nov-13,176.69,176.9,175.98,176.83,85676773
1-Nov-13,176.02,176.61,175.22,176.21,142805050
31-Oct-13,176.15,176.89,175.53,175.79,133795417
30-Oct-13,177.38,177.51,175.66,176.29,140001834
29-Oct-13,176.63,177.24,176.38,177.17,87401344
28-Oct-13,175.89,176.47,175.7,176.23,84979018
25-Oct-13,175.51,176,175.17,175.95,93625090
24-Oct-13,174.92,175.37,174.51,175.15,70350456
23-Oct-13,174.81,174.89,173.96,174.57,105484397
22-Oct-13,174.91,175.93,174.43,175.41,126663233
21-Oct-13,174.45,174.75,174.01,174.4,104103543
18-Oct-13,173.86,174.51,173.51,174.39,138315691
17-Oct-13,171.37,173.32,171.34,173.22,129389185
16-Oct-13,170.72,172.16,170.64,172.07,161676079
15-Oct-13,170.51,171.15,169.47,169.7,155484509
14-Oct-13,169.21,171.08,169.08,170.94,112106394
11-Oct-13,168.91,170.32,168.77,170.26,105039740
10-Oct-13,167.29,169.26,167.23,169.17,195954729
9-Oct-13,165.8,166.2,164.53,165.6,168972837
8-Oct-13,167.4,167.62,165.36,165.48,178014932
7-Oct-13,167.42,168.45,167.25,167.43,96295115
4-Oct-13,167.75,169.06,167.53,168.89,96878377
3-Oct-13,168.79,168.94,166.84,167.62,176698430
2-Oct-13,168.35,169.34,167.83,169.18,113349748
1-Oct-13,168.14,169.5,167.97,169.34,127160442
30-Sep-13,167.48,168.54,167.15,168.01,143937398
27-Sep-13,168.84,169.14,168.47,168.91,99141710
26-Sep-13,169.32,170.17,169.05,169.69,77146878
25-Sep-13,169.64,169.98,168.89,169.04,117306473
24-Sep-13,169.9,170.53,169.21,169.53,106333010
23-Sep-13,170.49,170.65,169.39,169.93,104616418
20-Sep-13,172.33,172.33,170.58,170.72,132867912
19-Sep-13,173.52,173.6,172.58,172.76,146616842
18-Sep-13,171.01,173.52,170.58,173.05,203460601
17-Sep-13,170.46,171.11,170.46,171.07,82523205
16-Sep-13,171.16,171.24,170.04,170.31,126187482
13-Sep-13,169.13,169.46,168.74,169.33,72727764
12-Sep-13,169.34,169.56,168.72,168.95,83208998
11-Sep-13,168.64,169.4,168.35,169.4,89414958
10-Sep-13,168.64,168.9,168.26,168.87,105847733
9-Sep-13,166.45,167.73,166.45,167.63,87559246
6-Sep-13,166.51,166.98,164.48,166.04,159756439
5-Sep-13,165.85,166.4,165.73,165.96,63090428
4-Sep-13,164.43,166.03,164.14,165.75,97389357
3-Sep-13,165.23,165.58,163.7,164.39,142375036
30-Aug-13,164.51,164.53,163.17,163.65,134928918
29-Aug-13,163.55,165.04,163.4,164.17,119200461
28-Aug-13,163.26,164.49,163.05,163.91,108112952
27-Aug-13,164.36,166,163.21,163.33,158621736
26-Aug-13,166.79,167.3,165.89,166,89705051
23-Aug-13,166.55,166.83,165.77,166.62,90893581
22-Aug-13,164.9,166.3,164.89,166.06,101471352
21-Aug-13,165.12,166.03,164.19,164.56,159530482
20-Aug-13,165.04,166.2,164.86,165.58,89294374
19-Aug-13,165.64,166.21,164.76,164.77,96437569
16-Aug-13,166.06,166.63,165.5,165.83,130868145
15-Aug-13,167.41,167.43,166.09,166.38,152931740
14-Aug-13,169.53,169.8,168.7,168.74,79829169
13-Aug-13,169.41,169.9,168.41,169.61,80806030
12-Aug-13,168.46,169.31,168.38,169.11,68593204
9-Aug-13,169.58,170.1,168.72,169.31,91856453
8-Aug-13,169.98,170.18,168.93,169.8,102181229
7-Aug-13,169.19,169.43,168.55,169.18,84854618
6-Aug-13,170.37,170.74,169.35,169.73,87494967
5-Aug-13,170.57,170.96,170.35,170.7,54072643
2-Aug-13,170.28,170.97,170.05,170.95,91116603
1-Aug-13,169.99,170.81,169.9,170.66,110438393
31-Jul-13,168.94,169.85,168.49,168.71,142388621
30-Jul-13,169.1,169.28,168.19,168.59,85216968
29-Jul-13,168.68,169.06,168.11,168.59,79845115
26-Jul-13,168.22,169.16,167.52,169.11,107814531
25-Jul-13,168.22,169.08,167.94,168.93,111156540
24-Jul-13,169.79,169.86,168.18,168.52,112913979
23-Jul-13,169.8,169.83,169.05,169.14,80829656
22-Jul-13,169.41,169.74,169.01,169.5,79428559
19-Jul-13,168.52,169.23,168.31,169.17,103831633
